run,draft_model_name,max_budget,gen_rate,speed,draft_iters,iters,input_0,input_1,mem_use,min_CLP,min_log_prob,new_tokens,prompt_len,t0,t1,tft,tree_h,tree_size,tree_w
0,Qwen/Qwen2.5-0.5B,16,8.8,7.79,10.8,5,40,17,33.68,-3.64,,44,120,0.762,0.364,2.5301,9.8,16,3
0,Qwen/Qwen2.5-0.5B,32,3.5,4.61,5.9,10,69,33,33.77,-4.46,,35,120,0.414,0.344,1.1099,4.9,32,12
0,Qwen/Qwen2.5-0.5B,64,3.7,3.91,7.9,9,116,65,33.96,-5.54,,33,120,0.5567,0.3833,1.0681,6.9,64,25
0,Qwen/Qwen2.5-0.5B,128,4.9,3.95,7.9,7,240,129,34.34,-5.95,,34,120,0.5714,0.6557,1.2257,6.9,128,43
0,Qwen/Qwen2.5-0.5B,256,3.6,2.23,9.4,9,575,257,35.09,-6.72,,32,120,0.7233,0.8689,2.1496,7.9,256,76
0,Qwen/Qwen2.5-0.5B,512,4.5,2.24,7.2,8,1003,513,36.6,-8.14,,36,120,0.6075,1.4075,1.7964,5.1,512,251
0,Qwen/Qwen2.5-0.5B,1024,4.6,1.11,18.9,7,3048,1025,39.61,-8.2,,32,120,1.6557,2.4529,4.6263,11.1,1024,244
0,Qwen/Qwen2.5-0.5B,2048,4.1,0.46,29.6,8,6051,2049,45.62,-9.02,,33,120,2.8662,6.1275,8.1067,10.4,2048,526
0,Qwen/Qwen2.5-1.5B,16,12.0,7.72,14.0,3,54,17,40.72,-1.94,,36,120,1.2633,0.29,3.7787,13.0,16,1
0,Qwen/Qwen2.5-1.5B,32,5.3,5.28,8.3,6,93,33,40.81,-4.18,,32,120,0.7167,0.2917,1.2351,7.3,32,8
0,Qwen/Qwen2.5-1.5B,64,3.2,2.96,8.2,10,137,65,41.0,-5.25,,32,120,0.759,0.325,1.4904,7.2,64,22
0,Qwen/Qwen2.5-1.5B,128,6.4,3.2,13.0,5,314,129,41.38,-5.59,,32,120,1.376,0.63,1.8425,12.0,128,33
0,Qwen/Qwen2.5-1.5B,256,5.1,2.0,12.3,7,723,257,42.13,-6.46,,36,120,1.7014,0.8671,2.5595,11.1,256,62
0,Qwen/Qwen2.5-1.5B,512,5.3,1.91,8.0,7,1206,513,43.66,-8.48,,37,120,1.36,1.4043,2.2729,5.7,512,241
0,Qwen/Qwen2.5-1.5B,1024,9.2,1.44,23.8,4,3598,1025,46.68,-8.0,,37,120,4.085,2.3525,6.3985,16.2,1024,221
0,Qwen/Qwen2.5-1.5B,2048,6.8,0.52,32.0,6,7005,2049,52.73,-8.8,,41,120,7.135,6.13,16.1144,11.0,2048,418
0,Qwen/Qwen2.5-3B,16,12.3,5.46,14.7,3,60,17,44.09,-1.67,,37,120,1.9733,0.29,4.5779,13.7,16,1
0,Qwen/Qwen2.5-3B,32,5.0,3.34,8.7,7,94,33,44.18,-4.09,,35,120,1.2043,0.2943,2.2929,7.7,32,8
0,Qwen/Qwen2.5-3B,64,3.9,2.37,9.3,9,110,65,44.37,-5.02,,35,120,1.3167,0.3256,2.4136,8.3,64,19
0,Qwen/Qwen2.5-3B,128,6.3,1.95,13.0,6,349,129,44.75,-5.46,,38,120,2.6117,0.64,3.286,12.0,128,25
0,Qwen/Qwen2.5-3B,256,8.5,1.61,18.0,4,917,257,45.51,-5.94,,34,120,4.4075,0.8725,5.9029,16.5,256,40
0,Qwen/Qwen2.5-3B,512,5.3,1.36,8.5,6,1351,513,47.01,-9.73,,32,120,2.51,1.4133,3.0459,6.5,512,263
0,Qwen/Qwen2.5-3B,1024,12.0,1.09,25.7,3,4124,1025,50.07,-7.62,,36,120,8.6633,2.3367,16.2005,17.0,1024,152
1,Qwen/Qwen2.5-0.5B,16,5.0,6.07,7.4,7,32,17,35.21,-3.62,,35,381,0.5143,0.31,1.9685,6.4,16,5
1,Qwen/Qwen2.5-0.5B,32,5.7,5.61,10.0,6,80,33,35.31,-3.93,,34,381,0.6817,0.3283,1.7376,9.0,32,8
1,Qwen/Qwen2.5-0.5B,64,5.7,4.55,12.5,6,147,65,35.49,-4.72,,34,381,0.8633,0.385,1.7814,11.5,64,16
1,Qwen/Qwen2.5-0.5B,128,9.5,5.31,15.8,4,357,129,35.87,-5.44,,38,381,1.11,0.68,2.0025,14.8,128,19
1,Qwen/Qwen2.5-0.5B,256,7.6,3.92,14.0,5,625,257,36.64,-6.69,,38,381,1.04,0.902,2.4951,12.8,256,57
1,Qwen/Qwen2.5-0.5B,512,4.6,2.12,8.9,7,1067,513,38.13,-8.77,,32,381,0.7229,1.4329,2.4781,6.6,512,236
1,Qwen/Qwen2.5-0.5B,1024,9.2,2.0,24.5,4,3618,1025,41.14,-7.81,,37,381,2.13,2.49,5.2363,16.0,1024,158
1,Qwen/Qwen2.5-0.5B,2048,6.2,0.69,27.8,6,6159,2049,47.18,-9.13,,37,381,2.7533,6.1867,8.7488,10.5,2048,560
1,Qwen/Qwen2.5-1.5B,16,4.2,3.82,9.8,9,42,17,42.26,-2.98,,38,381,0.8133,0.2922,2.2437,8.8,16,3
1,Qwen/Qwen2.5-1.5B,32,6.0,4.01,14.3,6,102,33,42.35,-3.78,,36,381,1.185,0.3083,2.0645,13.3,32,6
1,Qwen/Qwen2.5-1.5B,64,6.2,4.31,12.0,6,167,65,42.54,-4.46,,37,381,1.0917,0.34,2.3564,11.0,64,14
1,Qwen/Qwen2.5-1.5B,128,11.7,4.81,17.3,3,384,129,42.92,-5.09,,35,381,1.7833,0.6433,2.9119,16.3,128,18
1,Qwen/Qwen2.5-1.5B,256,6.3,2.06,18.5,6,728,257,43.71,-6.04,,38,381,2.1833,0.885,4.3478,17.3,256,47
1,Qwen/Qwen2.5-1.5B,512,7.0,2.0,15.6,5,1282,513,45.18,-8.25,,35,381,2.078,1.428,3.2375,13.2,512,186
1,Qwen/Qwen2.5-1.5B,1024,6.2,0.87,25.8,6,3786,1025,48.22,-7.79,,37,381,4.7033,2.395,8.6695,17.2,1024,186
1,Qwen/Qwen2.5-1.5B,2048,10.7,0.79,32.0,3,7541,2049,54.27,-9.25,,32,381,7.32,6.1167,13.8173,9.7,2048,434
1,Qwen/Qwen2.5-3B,16,4.7,3.74,7.3,7,37,17,45.63,-3.25,,33,381,0.97,0.2929,3.2249,6.3,16,5
1,Qwen/Qwen2.5-3B,32,6.6,3.44,12.2,5,95,33,45.73,-3.82,,33,381,1.62,0.3,3.3203,11.2,32,6
1,Qwen/Qwen2.5-3B,64,9.5,3.63,15.2,4,206,65,45.92,-4.38,,38,381,2.28,0.34,4.1124,14.2,64,9
1,Qwen/Qwen2.5-3B,128,10.7,2.78,18.0,3,361,129,46.3,-5.11,,32,381,3.1867,0.65,4.9593,17.0,128,20
1,Qwen/Qwen2.5-3B,256,8.4,1.88,16.2,5,710,257,47.06,-6.39,,42,381,3.576,0.89,6.2529,14.8,256,53
1,Qwen/Qwen2.5-3B,512,4.0,1.37,5.0,8,865,513,48.55,-10.28,,32,381,1.495,1.4312,4.6303,3.1,512,294
1,Qwen/Qwen2.5-3B,1024,10.7,0.97,28.0,3,3559,1025,51.61,-7.55,,32,381,8.6767,2.3367,14.3023,21.0,1024,136
2,Qwen/Qwen2.5-0.5B,16,4.0,4.79,7.6,9,43,17,36.13,-3.17,,36,532,0.5211,0.3144,1.7914,6.6,16,4
2,Qwen/Qwen2.5-0.5B,32,4.0,4.04,9.8,8,78,33,36.22,-4.15,,32,532,0.66,0.3287,1.8268,8.8,32,9
2,Qwen/Qwen2.5-0.5B,64,5.1,4.21,12.1,7,153,65,36.4,-4.69,,36,532,0.8343,0.3857,2.0499,11.1,64,14
2,Qwen/Qwen2.5-0.5B,128,5.3,3.51,11.8,6,329,129,36.77,-5.7,,32,532,0.8483,0.6683,2.3149,10.8,128,29
2,Qwen/Qwen2.5-0.5B,256,5.1,2.73,13.4,7,619,257,37.53,-6.43,,36,532,0.99,0.8957,3.1885,12.3,256,57
2,Qwen/Qwen2.5-0.5B,512,4.1,1.93,8.5,8,1079,513,39.01,-8.51,,33,532,0.695,1.4412,2.5747,6.1,512,245
2,Qwen/Qwen2.5-0.5B,1024,8.2,1.77,26.5,4,3428,1025,42.05,-7.88,,33,532,2.175,2.4875,6.2213,18.5,1024,203
2,Qwen/Qwen2.5-0.5B,2048,7.2,0.82,32.0,5,6416,2049,48.06,-8.74,,36,532,2.988,5.782,9.8268,13.0,2048,448
2,Qwen/Qwen2.5-1.5B,16,3.6,4.11,6.7,9,36,17,43.19,-3.42,,32,532,0.5733,0.29,2.3712,5.7,16,5
2,Qwen/Qwen2.5-1.5B,32,4.6,4.74,7.6,7,77,33,43.28,-3.81,,32,532,0.6557,0.3086,2.5551,6.6,32,9
2,Qwen/Qwen2.5-1.5B,64,5.3,3.95,11.7,6,156,65,43.47,-4.66,,32,532,1.0217,0.3283,3.0281,10.7,64,14
2,Qwen/Qwen2.5-1.5B,128,5.7,2.52,14.7,6,394,129,43.84,-5.26,,34,532,1.6083,0.6417,4.1303,13.7,128,23
2,Qwen/Qwen2.5-1.5B,256,5.3,1.98,13.7,7,683,257,44.58,-6.12,,37,532,1.78,0.8886,5.203,12.6,256,51
2,Qwen/Qwen2.5-1.5B,512,5.4,1.71,10.3,7,1303,513,46.07,-8.18,,38,532,1.7314,1.4386,3.51,7.6,512,216
2,Qwen/Qwen2.5-1.5B,1024,7.2,1.12,22.6,5,3787,1025,49.11,-8.37,,36,532,4.044,2.386,9.0749,15.8,1024,242
2,Qwen/Qwen2.5-1.5B,2048,9.0,0.69,32.0,4,6890,2049,55.17,-8.48,,36,532,7.2325,5.79,17.2726,11.0,2048,311
2,Qwen/Qwen2.5-3B,16,4.2,3.77,6.2,8,34,17,46.53,-3.5,,34,532,0.8375,0.2913,3.4284,5.2,16,6
2,Qwen/Qwen2.5-3B,32,5.0,3.53,8.0,7,82,33,46.63,-4.2,,35,532,1.1114,0.3057,3.6418,7.0,32,9
2,Qwen/Qwen2.5-3B,64,8.0,4.09,10.8,4,167,65,46.82,-4.71,,32,532,1.62,0.33,4.0982,9.8,64,15
2,Qwen/Qwen2.5-3B,128,6.4,2.11,12.4,5,306,129,47.2,-5.27,,32,532,2.378,0.656,5.1731,11.4,128,26
2,Qwen/Qwen2.5-3B,256,8.0,1.83,14.2,6,745,257,47.96,-6.28,,48,532,3.49,0.89,6.4461,12.7,256,49
2,Qwen/Qwen2.5-3B,512,6.4,1.23,13.8,5,1320,513,49.45,-7.34,,32,532,3.786,1.434,4.4807,11.0,512,148
2,Qwen/Qwen2.5-3B,1024,11.5,1.05,26.2,4,3779,1025,52.51,-7.52,,46,532,8.655,2.335,14.071,17.2,1024,158
3,Qwen/Qwen2.5-0.5B,16,6.8,8.0,7.4,5,42,17,33.85,-2.82,,34,150,0.518,0.334,0.8684,6.4,16,3
3,Qwen/Qwen2.5-0.5B,32,8.2,7.53,10.4,5,112,33,33.95,-3.72,,41,150,0.72,0.368,0.993,9.4,32,6
3,Qwen/Qwen2.5-0.5B,64,5.3,4.27,12.1,7,189,65,34.14,-4.38,,37,150,0.85,0.3871,1.0919,11.1,64,11
3,Qwen/Qwen2.5-0.5B,128,9.8,5.35,15.2,4,483,129,34.51,-5.22,,39,150,1.135,0.685,1.5317,14.2,128,20
3,Qwen/Qwen2.5-0.5B,256,7.2,3.22,18.0,5,853,257,35.27,-5.82,,36,150,1.344,0.892,2.3543,16.4,256,36
